Date,Price High,Price Low,Price Open,Price Close
12/15/2015,1066.199951,1061.800049,1064.599976,1062.900024
12/16/2015,1078.699951,1064.300049,1064.800049,1078
12/17/2015,1072.599976,1050.5,1072.599976,1050.800049
12/18/2015,1070.300049,1052.699951,1053.699951,1066.199951
12/21/2015,1081.900024,1070.199951,1070.199951,1081.900024
12/22/2015,1078.599976,1073.800049,1078.599976,1074.800049
12/23/2015,1074.800049,1069.400024,1074.5,1069.400024
12/24/2015,1077.800049,1073.5,1074.300049,1077.199951
12/28/2015,1098.800049,1070.5,1077.900024,1070.5
12/29/2015,1079.699951,1077.5,1079.099976,1077.5
12/30/2015,1070.199951,1059.699951,1068.599976,1060.099976
12/31/2015,1062,1058.5,1061.900024,1060.300049
1/4/2016,1082.5,1063.199951,1063.400024,1075.099976
1/5/2016,1081.5,1075.300049,1075.599976,1078.400024
1/6/2016,1093.699951,1081.599976,1081.599976,1091.900024
1/7/2016,1109.400024,1091.599976,1091.599976,1107.699951
1/8/2016,1111.099976,1093,1111.099976,1097.800049
1/11/2016,1107.900024,1096.5,1105.699951,1096.5
1/12/2016,1098.5,1084,1093.800049,1085.599976
1/13/2016,1093.900024,1081.5,1081.5,1087.5
1/14/2016,1091.5,1073.699951,1091.5,1073.900024
1/15/2016,1095.800049,1081.800049,1085,1091.5
1/19/2016,1094.400024,1084.900024,1089.800049,1089.900024
1/20/2016,1109.800049,1099.800049,1099.800049,1107.099976
1/21/2016,1103.599976,1094.099976,1103.599976,1099.099976
1/22/2016,1103.199951,1097.199951,1098,1097.199951
1/25/2016,1109.300049,1099.300049,1099.300049,1106.199951
1/26/2016,1121.699951,1114.300049,1115.099976,1121.699951
1/27/2016,1117.800049,1115.800049,1117.800049,1116.099976
1/28/2016,1125.699951,1109.800049,1125.400024,1115.599976
1/29/2016,1118.599976,1108.800049,1114.400024,1116.400024
2/1/2016,1130,1115.300049,1116.699951,1127.900024
2/2/2016,1131.400024,1123,1128.300049,1127.300049
2/3/2016,1146,1125,1128.5,1141.300049
2/4/2016,1157.599976,1141,1142.5,1157.599976
2/5/2016,1174.800049,1146,1155.599976,1157.800049
2/8/2016,1200.400024,1165,1173.5,1197.900024
2/9/2016,1199.199951,1186.699951,1188.699951,1198.699951
2/10/2016,1197.699951,1182.099976,1189.800049,1194.699951
2/11/2016,1260.800049,1204.599976,1205.599976,1247.900024
2/12/2016,1247.800049,1233.5,1247.800049,1239.099976
2/16/2016,1233.599976,1193.599976,1233.099976,1207.900024
2/17/2016,1212.900024,1196.5,1196.5,1211.099976
2/18/2016,1239.199951,1201.599976,1209.599976,1226.099976
2/19/2016,1232.800049,1221.800049,1230.800049,1230.400024
2/22/2016,1226.099976,1203,1226.099976,1209.5
2/23/2016,1226.099976,1207.400024,1207.400024,1222.300049
2/24/2016,1250.099976,1230,1230,1238.699951
2/25/2016,1241.5,1235,1239.400024,1238.199951
2/26/2016,1239.099976,1212.199951,1232.400024,1219.800049
2/29/2016,1241,1218.599976,1218.599976,1233.900024
3/1/2016,1248.400024,1229,1240.5,1230.300049
3/2/2016,1242.599976,1226,1232.800049,1241.099976
3/3/2016,1267.900024,1238,1238.400024,1257.400024
3/4/2016,1279.900024,1250.900024,1263,1269.900024
3/7/2016,1272.300049,1259.699951,1259.800049,1263.199951
3/8/2016,1276.300049,1261,1268.699951,1262.099976
3/9/2016,1260,1244.800049,1254.5,1256.599976
3/10/2016,1273,1237.5,1250,1272
3/11/2016,1280.699951,1249.400024,1270,1258.699951
3/14/2016,1258,1234.5,1256,1244.400024
3/15/2016,1236,1228,1228.300049,1230.400024
3/16/2016,1263.800049,1228.900024,1229.5,1229.300049
3/17/2016,1270.099976,1255.900024,1261.5,1264.5
3/18/2016,1264.400024,1251.5,1257.099976,1253.800049
3/21/2016,1256.199951,1243.400024,1256.199951,1243.800049
3/22/2016,1252.400024,1243.800049,1244,1248.199951
3/23/2016,1247.699951,1218.599976,1247.699951,1223.699951
3/24/2016,1221.400024,1214.199951,1214.199951,1221.400024
3/28/2016,1222.199951,1210,1211.5,1219.900024
3/29/2016,1235.599976,1217.699951,1217.800049,1235.599976
3/30/2016,1245,1223.400024,1241.400024,1226.900024
3/31/2016,1239.599976,1224.5,1225.599976,1234.199951
4/1/2016,1235.199951,1209.199951,1232.300049,1222.199951
4/4/2016,1222.300049,1215,1221.699951,1218
4/5/2016,1236.699951,1215.400024,1215.400024,1228.400024
4/6/2016,1230.400024,1217.599976,1230.400024,1222.5
4/7/2016,1242.900024,1224.599976,1224.800049,1236.199951
4/8/2016,1242.800049,1232,1241,1242.5
4/11/2016,1258.699951,1241.5,1241.5,1256.699951
4/12/2016,1261.699951,1253.699951,1260,1259.400024
4/13/2016,1256.900024,1241.300049,1256.5,1246.800049
4/14/2016,1243.699951,1224.5,1231.400024,1225
4/15/2016,1235,1225.699951,1225.699951,1233.099976
4/18/2016,1241.099976,1232.199951,1238.699951,1233.599976
4/19/2016,1256.199951,1228.800049,1231.599976,1253
4/20/2016,1256.099976,1243,1256.099976,1253.199951
4/21/2016,1270.599976,1247.599976,1247.699951,1249
4/22/2016,1248.5,1228,1248.5,1228.699951
4/25/2016,1240.900024,1231.599976,1231.599976,1238.900024
4/26/2016,1244.199951,1233,1239.800049,1242.199951
4/27/2016,1249.5,1248.599976,1248.599976,1249.199951
4/28/2016,1270.099976,1238.5,1245.900024,1265.5
4/29/2016,1295.5,1267.199951,1267.300049,1289.199951
5/2/2016,1304.400024,1290.400024,1292.099976,1294.699951
5/3/2016,1301.5,1284.5,1292.699951,1290.699951
5/4/2016,1290,1273,1286.900024,1273.300049
5/5/2016,1286,1270.800049,1282.900024,1271.400024
5/6/2016,1295.599976,1276.900024,1278.599976,1292.900024
5/9/2016,1286.5,1262.300049,1286.5,1265.599976
5/10/2016,1267.400024,1258.699951,1265.099976,1263.900024
5/11/2016,1279.199951,1266.900024,1266.900024,1274.599976
5/12/2016,1281.199951,1264,1267,1270.300049
5/13/2016,1275.699951,1264.599976,1271.400024,1271.900024
5/16/2016,1287.800049,1272.800049,1272.800049,1273.400024
5/17/2016,1281.599976,1270.800049,1272.5,1276.199951
5/18/2016,1276.400024,1256.800049,1276.400024,1273.699951
5/19/2016,1255.5,1247.5,1248,1254.199951
5/20/2016,1256.599976,1252.400024,1256.599976,1252.400024
5/23/2016,1251.599976,1247.5,1251.599976,1251.099976
5/24/2016,1240,1228.199951,1240,1228.900024
5/25/2016,1223.5,1218.599976,1219.300049,1223.5
5/26/2016,1232.599976,1220.099976,1232.599976,1220.099976
5/27/2016,1223.199951,1206.400024,1220.300049,1213.800049
5/31/2016,1217.599976,1199,1212.5,1214.800049
6/1/2016,1219.800049,1205.400024,1215.699951,1211.900024
6/2/2016,1217,1209.599976,1212.400024,1209.800049
6/3/2016,1244.5,1206.400024,1209.099976,1240.099976
6/6/2016,1247.300049,1240,1244.400024,1244.599976
6/7/2016,1244.900024,1236.5,1244,1244.400024
6/8/2016,1264,1247.300049,1247.599976,1259.800049
6/9/2016,1271.400024,1258.099976,1262.5,1270.199951
6/10/2016,1278,1265.300049,1267.599976,1273.400024
6/13/2016,1287.300049,1273,1276.199951,1284.400024
6/14/2016,1289.699951,1277.800049,1281.800049,1285.599976
6/15/2016,1296.199951,1278.800049,1284.599976,1285.800049
6/16/2016,1316.400024,1281.099976,1296.300049,1296.099976
6/17/2016,1300.099976,1280.300049,1280.300049,1292.5
6/20/2016,1291.199951,1280.300049,1288.900024,1290
6/21/2016,1293.900024,1266.300049,1293.900024,1270.5
6/22/2016,1269.199951,1264.900024,1267,1268
6/23/2016,1270.5,1255.199951,1263.400024,1261.199951
6/24/2016,1355.599976,1253.699951,1253.699951,1320
6/27/2016,1331.699951,1320,1330,1322.5
6/28/2016,1315.599976,1314.099976,1314.800049,1315.300049
6/29/2016,1327.400024,1311.599976,1311.599976,1323.900024
6/30/2016,1323.5,1314.5,1315.800049,1318.400024
7/1/2016,1344.199951,1321.900024,1324.5,1336.699951
7/5/2016,1356.800049,1339.699951,1342.199951,1356.400024
7/6/2016,1374.900024,1359,1359,1364.900024
7/7/2016,1368.599976,1350.5,1366.800049,1360.099976
7/8/2016,1365.800049,1335,1361.300049,1356.599976
7/11/2016,1371.800049,1353,1371.699951,1355
7/12/2016,1356,1330.300049,1353.599976,1334.099976
7/13/2016,1342.400024,1336.699951,1341.5,1342.400024
7/14/2016,1341.400024,1322.699951,1341.400024,1331.300049
7/15/2016,1333.699951,1322.900024,1333.699951,1326.5
7/18/2016,1335,1326.199951,1327.5,1328.400024
7/19/2016,1333.199951,1326.400024,1328.5,1331.5
7/20/2016,1337.5,1315.5,1331,1318.800049
7/21/2016,1330.5,1312.800049,1312.800049,1330.5
7/22/2016,1330.699951,1320.400024,1330.699951,1323.099976
7/25/2016,1319.300049,1313.800049,1315.699951,1319.300049
7/26/2016,1320.699951,1315.199951,1315.199951,1320.699951
7/27/2016,1326.599976,1326,1326,1326.599976
7/28/2016,1344.300049,1330.099976,1339.5,1332.300049
7/29/2016,1353.300049,1325.800049,1333.199951,1349
8/1/2016,1353.5,1345.599976,1348.800049,1351.400024
8/2/2016,1366,1346.599976,1352.099976,1364.400024
8/3/2016,1364.699951,1353.300049,1362.400024,1356.099976
8/4/2016,1361.599976,1347,1354.400024,1358.800049
8/5/2016,1360.800049,1333.699951,1357.599976,1336.400024
8/8/2016,1335.400024,1327.800049,1330,1333.400024
8/9/2016,1339.400024,1328.5,1331.800049,1339
8/10/2016,1354.199951,1344.300049,1344.800049,1344.300049
8/11/2016,1350.400024,1334.800049,1341.599976,1342.5
8/12/2016,1351.800049,1333.199951,1336.800049,1335.800049
8/15/2016,1340.599976,1333.599976,1336.5,1340.300049
8/16/2016,1355,1341,1342.199951,1350.5
8/17/2016,1347.300049,1338.599976,1345.5,1342.699951
8/18/2016,1354.400024,1348.199951,1351.300049,1351.199951
8/19/2016,1350.099976,1338.599976,1350.099976,1340.400024
8/22/2016,1337.699951,1333.300049,1334.400024,1337.699951
8/23/2016,1341.199951,1334.300049,1337,1340.599976
8/24/2016,1337.199951,1322.900024,1337.199951,1324.400024
8/25/2016,1324,1317,1321.400024,1320.099976
8/26/2016,1340.5,1320.099976,1323.800049,1321.5
8/29/2016,1323,1315,1315,1322.900024
8/30/2016,1322.099976,1308,1322,1311.699951
8/31/2016,1313.699951,1306.300049,1310.300049,1306.900024
9/1/2016,1313.099976,1301.5,1305.300049,1312.199951
9/2/2016,1326.699951,1309.199951,1309.599976,1322.099976
9/6/2016,1349.400024,1323.199951,1323.300049,1349.400024
9/7/2016,1350.5,1343.900024,1348.400024,1344.300049
9/8/2016,1345.400024,1335.699951,1344.800049,1336.800049
9/9/2016,1338.5,1328,1338.5,1330.099976
